FinalID,BOLD_Records,BOLD_Records_CA,BOLD_Records_COI,BOLD_Records_COI_CA,BOLD_Records_COI_SW,BOLD_Records_COI_USA,BOLD_Records_ITS,BOLD_Records_ITS_CA,BOLD_Records_ITS_SW,BOLD_Records_ITS_USA,BOLD_Records_matK,BOLD_Records_matK_CA,BOLD_Records_matK_SW,BOLD_Records_matK_USA,BOLD_Records_rbcL,BOLD_Records_rbcL_CA,BOLD_Records_rbcL_SW,BOLD_Records_rbcL_USA,BOLD_Records_SW,BOLD_Records_trnL,BOLD_Records_trnL_CA,BOLD_Records_trnL_SW,BOLD_Records_trnL_USA,BOLD_Records_USA,CommonName,ParentOrganismFinalID,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,GenusComplex,Genus,SpeciesComplex,Species,Subspecies,Variety,TaxonomicLevelCode
Claopodium crispifolium,5,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,Claopodium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Leskeaceae,NA,NA,NA,Claopodium,NA,Claopodium crispifolium,NA,NA,60
Claopodium whippleanum,26,0,0,0,0,0,21,0,0,10,0,0,0,0,2,0,0,0,0,3,0,0,0,10,NA,Claopodium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Leskeaceae,NA,NA,NA,Claopodium,NA,Claopodium whippleanum,NA,NA,60
Codriophorus,35,0,6,0,0,0,3,0,0,0,3,0,0,0,18,0,0,0,0,5,0,0,0,0,NA,Grimmiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Codriophorus,NA,Codriophorus,NA,NA,50
Codriophorus depressus,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Codriophorus,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Codriophorus,NA,Codriophorus depressus,NA,NA,60
Codriophorus norrissii,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Codriophorus,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Codriophorus,NA,Codriophorus norrissii,NA,NA,60
Conardia,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,Amblystegiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Conardia,NA,Conardia,NA,NA,50
Conardia compacta,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,Conardia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Conardia,NA,Conardia compacta,NA,NA,60
Conostomum,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,Bartramiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Conostomum,NA,Conostomum,NA,NA,50
Conostomum tetragonum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,Conostomum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Conostomum,NA,Conostomum tetragonum,NA,NA,60
Coscinodon,45,0,0,0,0,0,41,0,0,3,0,0,0,0,2,0,0,2,0,2,0,0,2,7,NA,Grimmiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Coscinodon,NA,Coscinodon,NA,NA,50
Coscinodon calyptratus,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Coscinodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Coscinodon,NA,Coscinodon calyptratus,NA,NA,60
Coscinodon sp. nov.,45,0,0,0,0,0,41,0,0,3,0,0,0,0,2,0,0,2,0,2,0,0,2,7,NA,Coscinodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Coscinodon,NA,Coscinodon sp. nov.,NA,NA,60
Cratoneuron,117,0,0,0,0,0,105,0,0,3,0,0,0,0,8,0,0,0,0,4,0,0,0,3,NA,Amblystegiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Cratoneuron,NA,Cratoneuron,NA,NA,50
Cratoneuron filicinum,111,0,0,0,0,0,102,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,3,NA,Cratoneuron,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Cratoneuron,NA,Cratoneuron filicinum,NA,NA,60
Crossidium,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Crossidium,NA,Crossidium,NA,NA,50
Crossidium aberrans,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Crossidium,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Crossidium,NA,Crossidium aberrans,NA,NA,60
Crossidium crassinerve,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Crossidium,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Crossidium,NA,Crossidium crassinerve,NA,NA,60
Crossidium seriatum,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Crossidium,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Crossidium,NA,Crossidium seriatum,NA,NA,60
Crossidium squamiferum,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Crossidium,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Crossidium,NA,Crossidium squamiferum,NA,NA,60
Crumia,7,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Crumia,NA,Crumia,NA,NA,50
Crumia latifolia,7,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,NA,Crumia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Crumia,NA,Crumia latifolia,NA,NA,60
Dichelyma,17,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,NA,Fontinalaceae,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,Fontinalaceae,NA,NA,NA,Dichelyma,NA,Dichelyma,NA,NA,50
Dichelyma uncinatum,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,Dichelyma,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,Fontinalaceae,NA,NA,NA,Dichelyma,NA,Dichelyma uncinatum,NA,NA,60
Didymodon,250,1,0,0,0,0,206,1,2,3,0,0,0,0,24,0,0,0,2,20,0,0,0,3,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon,NA,NA,50
Didymodon australasiae,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon australasiae,NA,NA,60
Didymodon bistratosus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon bistratosus,NA,NA,60
Didymodon brachyphyllus,2,1,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon brachyphyllus,NA,NA,60
Didymodon eckeliae,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon eckeliae,NA,NA,60
Didymodon fallax,10,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon fallax,NA,NA,60
Didymodon ferrgineus,7,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon ferrgineus,NA,NA,60
Didymodon Insulanus,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon Insulanus,NA,NA,60
Didymodon nicholsonii,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon nicholsonii,NA,NA,60
Didymodon norrisii,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon norrisii,NA,NA,60
Didymodon occidentalis,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon occidentalis,NA,NA,60
Didymodon revolutus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon revolutus,NA,NA,60
Didymodon rigidulus,17,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon rigidulus,NA,NA,60
Didymodon tectorum,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon tectorum,NA,NA,60
Didymodon tophaceus,23,0,0,0,0,0,17,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,1,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon tophaceus,NA,NA,60
Didymodon umbrosus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon umbrosus,NA,NA,60
Didymodon vinealis,7,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon vinealis,NA,NA,60
Distichium,61,0,0,0,0,0,21,0,0,0,0,0,0,0,27,0,0,0,0,13,0,0,0,0,NA,Ditrichaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Distichium,NA,Distichium,NA,NA,50
Distichium capillaceum,38,0,0,0,0,0,14,0,0,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,NA,Distichium,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Distichium,NA,Distichium capillaceum,NA,NA,60
Distichium inclinatum,12,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,NA,Distichium,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Distichium,NA,Distichium inclinatum,NA,NA,60
Ditrichaceae,367,0,0,0,0,0,239,0,0,9,0,0,0,0,79,0,0,2,0,49,0,0,1,12,NA,Dicranales,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,NA,NA,Ditrichaceae,NA,NA,40
Ditrichum,94,0,0,0,0,0,30,0,0,1,0,0,0,0,34,0,0,2,0,30,0,0,1,4,NA,Ditrichaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Ditrichum,NA,Ditrichum,NA,NA,50
Ditrichum ambiguum,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,NA,Ditrichum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Ditrichum,NA,Ditrichum ambiguum,NA,NA,60
Ditrichum heteromallum,15,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,NA,Ditrichum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Ditrichum,NA,Ditrichum heteromallum,NA,NA,60
Ditrichum montanum,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,3,NA,Ditrichum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Ditrichum,NA,Ditrichum montanum,NA,NA,60
Ditrichum pusillum,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Ditrichum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Ditrichum,NA,Ditrichum pusillum,NA,NA,60
Ditrichum schimperi,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Ditrichum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Ditrichum,NA,Ditrichum schimperi,NA,NA,60
Drepanocladus,437,0,0,0,0,0,401,0,2,5,0,0,0,0,20,0,0,0,2,16,0,0,0,5,NA,Amblystegiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Drepanocaldus,NA,Drepanocladus,NA,NA,50
Drepanocladus aduncus,140,0,0,0,0,0,116,0,0,0,0,0,0,0,14,0,0,0,0,10,0,0,0,0,NA,Drepanocladus,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Drepanocaldus,NA,Drepanocladus aduncus,NA,NA,60
Drepanocladus capillifolius,10,0,0,0,0,0,10,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,NA,Drepanocladus,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Drepanocaldus,NA,Drepanocladus capillifolius,NA,NA,60
Drepanocladus polycarpos,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Drepanocladus,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Drepanocaldus,NA,Drepanocladus polycarpos,NA,NA,60
Drepanocladus polygamus,10,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,NA,Drepanocladus,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Drepanocaldus,NA,Drepanocladus polygamus,NA,NA,60
Entosthodon,11,0,0,0,0,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,Funariaceae,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Entosthodon,NA,Entosthodon,NA,NA,50
Entosthodon californicus,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Entosthodon,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Entosthodon,NA,Entosthodon californicus,NA,NA,60
Entosthodon drummondii,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Entosthodon,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Entosthodon,NA,Entosthodon drummondii,NA,NA,60
Entosthodon fascicularis,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Entosthodon,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Entosthodon,NA,Entosthodon fascicularis,NA,NA,60
Entosthodon kochii,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Entosthodon,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Entosthodon,NA,Entosthodon kochii,NA,NA,60
Entosthodon rubrisetus,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Entosthodon,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Entosthodon,NA,Entosthodon rubrisetus,NA,NA,60
Entosthodon tusconi,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Entosthodon,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Entosthodon,NA,Entosthodon tusconi,NA,NA,60
Ephemerum,5,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Ephemerum,NA,Ephemerum,NA,NA,50
Ephemerum serratum,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Ephemerum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Ephemerum,NA,Ephemerum serratum,NA,NA,60
Epipterygium,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Mielichhoferiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Mielichhoferiaceae,NA,NA,NA,Epipterygium,NA,Epipterygium,NA,NA,50
Epipterygium tozeri,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Epipterygium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Mielichhoferiaceae,NA,NA,NA,Epipterygium,NA,Epipterygium tozeri,NA,NA,60
Eucladium,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Eucladium,NA,Eucladium,NA,NA,50
Eucladium verticillatum,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Eucladium,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Eucladium,NA,Eucladium verticillatum,NA,NA,60
Eurhynchiastrum,18,0,0,0,0,0,16,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,5,NA,Brachytheciaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Eurhynchiastrum,NA,Eurhynchiastrum,NA,NA,50
Eurhynchiastrum pulchellum,17,0,0,0,0,0,15,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,5,NA,Eurhynchiastrum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Eurhynchiastrum,NA,Eurhynchiastrum pulchellum,NA,NA,60
Fabronia,60,3,0,0,0,0,58,3,5,9,0,0,0,0,2,0,0,0,5,0,0,0,0,9,NA,Fabroniaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Fabroniaceae,NA,NA,NA,Fabronia,NA,Fabronia,NA,NA,50
Fabronia pusilla,12,3,0,0,0,0,10,3,3,5,0,0,0,0,2,0,0,0,3,0,0,0,0,5,NA,Fabronia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Fabroniaceae,NA,NA,NA,Fabronia,NA,Fabronia pusilla,NA,NA,60
Fabroniaceae,66,3,0,0,0,0,60,3,5,9,0,0,0,0,6,0,0,0,5,0,0,0,0,9,NA,Hypnales,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Fabroniaceae,NA,NA,NA,NA,NA,Fabroniaceae,NA,NA,40
Fissidens,168,0,0,0,0,0,110,0,0,0,0,0,0,0,47,0,0,2,0,11,0,0,0,2,NA,Fissidentaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens,NA,NA,50
Fissidens aphelotaxifolius,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens aphelotaxifolius,NA,NA,60
Fissidens bryoides,8,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens bryoides,NA,NA,60
Fissidens crispus,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens crispus,NA,NA,60
Fissidens curvatus,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens curvatus,NA,NA,60
Fissidens dubius,18,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens dubius,NA,NA,60
Fissidens fontanus,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens fontanus,NA,NA,60
Fissidens grandifrons,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens grandifrons,NA,NA,60
Fissidens obtusifolius,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens obtusifolius,NA,NA,60
Fissidens pauperculus,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens pauperculus,NA,NA,60
Fissidens taxifolius,21,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens taxifolius,NA,NA,60
Fissidens taylorii,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens taylorii,NA,NA,60
Fissidens ventricosus,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens ventricosus,NA,NA,60
Fissidentaceae,168,0,0,0,0,0,110,0,0,0,0,0,0,0,47,0,0,2,0,11,0,0,0,2,NA,Dicranales,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,NA,NA,Fissidentaceae,NA,NA,40
